rangeIndex,freqIndex,esperanto,esperantoAudio,english,englishTranslationSource,englishAudio,sampleUsage,sampleUsageAudio,relatedWords,relatedWordsAudio,esperantoAudioSource,rangeIndexOriginal,tags
6452,8120,proksimiĝu,,approach,ChatGPT,,,,,,,1657,"""#OpenSubtitles"""
6453,8122,alkoholulo,[sound:alkoholulo_eo_ll.mp3],alcoholic,ESPDIC,,,,,,Lingua Libre,2637,"""#OpenSubtitles"""
6454,8137,deka,[sound:deka_eo_ll.mp3],tenth,ESPDIC,,,,,,Lingua Libre,2808,"""#OpenSubtitles"""
6455,8147,heredis,,inherited,ChatGPT,,,,,,,1705,"""#OpenSubtitles"""
6456,8169,aplauzo,,,,,,,,,,3650,"""#OpenSubtitles"""
6457,8192,panika,,frantic,ESPDIC,,,,,,,5095,"""#OpenSubtitles"""
6458,8194,koincido,[sound:koincido_eo_ll.mp3],coincidence,ESPDIC,,,,,,Lingua Libre,2026,"""#OpenSubtitles"""
6459,8220,duona,[sound:duona_eo_ll.mp3],half,ESPDIC,,,,,,Lingua Libre,3073,"""#OpenSubtitles"""
6460,8230,celloko,,,,,,,,,,2623,"""#OpenSubtitles"""
6461,8291,funebri,[sound:funebri_eo_ll.mp3],"to bewail, mourn, grieve, weep",ESPDIC,,,,,,Lingua Libre,1875,"""#OpenSubtitles"""
6462,8337,alkohola,[sound:alkohola_eo_ll.mp3],"alcoholic, spirituous",ESPDIC,,,,,,Lingua Libre,2853,"""#OpenSubtitles"""
6463,8338,plani,[sound:Lepticed7_plani.mp3],to plan,OG,,Ŝi planis la tutan vojaĝon.=She planned the whole trip.,,,,Esperanto.cards,7683,*Verbs [DuoLingo]
6464,8348,junulara,[sound:junulara_eo_ll.mp3],youth,ESPDIC,,,,,,Lingua Libre,2877,"""#OpenSubtitles"""
6465,8354,unufoja,,one-time,ESPDIC,,,,,,,2355,"""#OpenSubtitles"""
6466,8356,singarde,,"carefully, gently, lightly",ESPDIC,,,,,,,1940,"""#OpenSubtitles"""
6467,8394,pagus,[sound:pagus_eo_ll.mp3],paged,ChatGPT,,,,,,Lingua Libre,1978,"""#OpenSubtitles"""
6468,8411,psiko,[sound:psiko_eo_ll.mp3],"mind, psyche",ESPDIC,,,,,,Lingua Libre,2059,"""#OpenSubtitles"""
6469,8428,kompletigita,,completed,ChatGPT,,,,,,,2381,"""#OpenSubtitles"""
6470,8430,toleras,,tolerates,ChatGPT,,,,,,,2021,"""#OpenSubtitles"""
6471,8459,aroganteco,,"arrogance, overbearingness, presumption",ESPDIC,,,,,,,2352,"""#OpenSubtitles"""
6472,8496,timigu,,terrify,ChatGPT,,,,,,,2092,"""#OpenSubtitles"""
6473,8507,kolektante,,collecting,ChatGPT,,,,,,,2104,"""#OpenSubtitles"""
6474,8511,dronis,,drones,ChatGPT,,,,,,,2111,"""#OpenSubtitles"""
6475,8512,retenis,,retained,ChatGPT,,,,,,,2112,"""#OpenSubtitles"""
6476,8519,mirige,,"astonishing, surprising",ESPDIC,,,,,,,2122,"""#OpenSubtitles"""
6477,8535,aspektanta,[sound:aspektanta_eo_ll.mp3],,,,,,,,Lingua Libre,3191,"""#OpenSubtitles"""
6478,8536,hieraux,,yesterday,ChatGPT,,,,,,,2135,"""#OpenSubtitles"""
6479,8549,premante,,pressing,ChatGPT,,,,,,,2148,"""#OpenSubtitles"""
6480,8557,agresa,[sound:Lepticed7_agresa.mp3],aggressive,OG,,,,,,Esperanto.cards,9751,*Adjectives Thoughts+Feelings
6481,8579,agnoskas,,recognize,ChatGPT,,,,,,,2190,"""#OpenSubtitles"""
6482,8581,koleru,[sound:koleru_eo_ll.mp3],get angry,ChatGPT,,,,,,Lingua Libre,2191,"""#OpenSubtitles"""
6483,8598,preparante,,preparing,ChatGPT,,,,,,,2216,"""#OpenSubtitles"""
6484,8609,taksis,,taxed,ChatGPT,,,,,,,2230,"""#OpenSubtitles"""
6485,8610,pruntedonis,,will lend,ChatGPT,,,,,,,2232,"""#OpenSubtitles"""
6486,8624,antaŭvidi,[sound:Lepticed7_antaŭvidi.mp3],to foresee,OG,,Neniu povas antaŭvidi la estontecon.=No one can predict the future.,,,,Esperanto.cards,7721,*Verbs [DuoLingo]
6487,8629,reflektas,,reflects,ChatGPT,,,,,,,2254,"""#OpenSubtitles"""
6489,8641,sufiĉi,[sound:Lepticed7_sufiĉi.mp3],to suffice,OG,,Tio sufiĉas.=That is enough.,,,,Esperanto.cards,7724,*Verbs [DuoLingo]
6490,8648,movos,,moves,ChatGPT,,,,,,,2272,"""#OpenSubtitles"""
6491,8665,resaniĝis,,recovered,ChatGPT,,,,,,,2292,"""#OpenSubtitles"""
6492,8713,ripete,,repeatedly,ChatGPT,,,,,,,2333,"""#OpenSubtitles"""
6493,8748,ĝuante,,joyfully,ChatGPT,,,,,,,2375,"""#OpenSubtitles"""
6494,8749,restinta,,remaining,ESPDIC,,,,,,,3468,"""#OpenSubtitles"""
6495,8763,venĝi,[sound:venĝi_eo_ll.mp3],"to avenge (oneself), revenge",ESPDIC,,,,,,Lingua Libre,2394,"""#OpenSubtitles"""
6496,8764,deklarita,,,,,,,,,,3053,"""#OpenSubtitles"""
6497,8767,malglata,[sound:Lepticed7_malglata.mp3],"rough, coarse",OG,,La surfaco de la ligno estas malglata sub miaj fingroj.=The wood's surface is rough under my fingers.,,,,Esperanto.cards,11197,*Adjectives *Participles [DuoLingo] Words-w-Affixes
6498,8773,trapasas,,passes through,ChatGPT,,,,,,,2396,"""#OpenSubtitles"""
6499,8778,inventi,[sound:inventi_eo_ll.mp3],to invent,ESPDIC,,,,,,Lingua Libre,2400,"""#OpenSubtitles"""
6500,8781,anstataŭigita,,,,,,,,,,2889,"""#OpenSubtitles"""
6501,8791,farunu,,make,ChatGPT,,,,,,,2418,"""#OpenSubtitles"""
6502,6502,simon,,Simon,ChatGPT,,,,,,,4916,"""#OpenSubtitles"""
6502,8792,skribante,[sound:skribante_eo_tts.mp3],while writing,OG,,"Skribante sian nomon, la juna knabo ridetis.=Writing his name, the young boy smiled.",,,,TTS Voĉroboto,7741,*Adverbs *Participles [DuoLingo] Communication+Language
6503,8805,lumigis,,illuminated,ChatGPT,,,,,,,2438,"""#OpenSubtitles"""
6504,8806,miksu,[sound:miksu_eo_ll.mp3],mix,ChatGPT,,,,,,Lingua Libre,2438,"""#OpenSubtitles"""
6505,8808,esploru,[sound:esploru_eo_ll.mp3],explore,ChatGPT,,,,,,Lingua Libre,2443,"""#OpenSubtitles"""
6506,8814,logo,,"allurement, bait, enticement; log",ESPDIC,,,,,,,5267,"""#OpenSubtitles"""
6507,8850,kaŝos,,will hide,ChatGPT,,,,,,,2488,"""#OpenSubtitles"""
6508,8857,provoki,[sound:provoki_eo_ll.mp3],"to defy, incite, provoke, incite",ESPDIC,,,,,,Lingua Libre,2495,"""#OpenSubtitles"""
6509,8876,milde,,mildly,ESPDIC,,,,,,,2509,"""#OpenSubtitles"""
6510,8916,rifuzi,[sound:Lepticed7_rifuzi.mp3],to refuse,OG,,Li ĉiam rifuzas purigi la kuirejon.=He always refuses to clean the kitchen.,,,,Esperanto.cards,7757,*Verbs [DuoLingo] Conflict+Resolution
6511,8921,dediĉi,[sound:dediĉi_eo_ll.mp3],"to consecrate, dedicate, devote, set aside, vow",ESPDIC,,,,,,Lingua Libre,2568,"""#OpenSubtitles"""
6512,8927,liveris,,lighted,ChatGPT,,,,,,,2572,"""#OpenSubtitles"""
6513,8941,barmisto,,barman,ChatGPT,,,,,,,2585,"""#OpenSubtitles"""
6514,8957,fiksado,,setting,ESPDIC,,,,,,,4547,"""#OpenSubtitles"""
6515,9043,freneziĝos,,will go crazy,ChatGPT,,,,,,,2701,"""#OpenSubtitles"""
6516,9099,fare,[sound:fare_eo_ll.mp3],"in doing, having been done, having been made",ESPDIC,,,,,,Lingua Libre,2772,"""#OpenSubtitles"""
6517,9102,senhelpa,[sound:senhelpa_eo_ll.mp3],helpless,ESPDIC,,,,,,Lingua Libre,3169,"""#OpenSubtitles"""
6518,9114,laborado,,"work, toil",ESPDIC,,,,,,,2969,"""#OpenSubtitles"""
6519,9133,ruliĝis,,rolled,ChatGPT,,,,,,,2820,"""#OpenSubtitles"""
6520,9152,firma,[sound:firma_eo_ll.mp3],"fast, firm, stable, staunch, unshaken",ESPDIC,,,,,,Lingua Libre,3339,"""#OpenSubtitles"""
6521,9211,perfekteco,[sound:perfekteco_eo_ll.mp3],perfection,ESPDIC,,,,,,Lingua Libre,3449,"""#OpenSubtitles"""
6522,1876,todd,,Todd,ChatGPT,,,,,,,5981,"""#OpenSubtitles"""
6523,2004,josh,,Josh,ChatGPT,,,,,,,5850,"""#OpenSubtitles"""
6524,2271,hannah,,Hannah,ChatGPT,,,,,,,5564,"""#OpenSubtitles"""
6525,2436,sara,[sound:Sara_eo_ll.mp3],Sara,ChatGPT,,,,,,Lingua Libre,5254,"""#OpenSubtitles"""
6526,2728,cooper,,Cooper,ChatGPT,,,,,,,5029,"""#OpenSubtitles"""
6527,2741,nigro,[sound:nigro_eo_ll.mp3],black,ESPDIC,,,,,,Lingua Libre,6404,"""#OpenSubtitles"""
6528,2793,barry,,Barry,ChatGPT,,,,,,,4945,"""#OpenSubtitles"""
6529,3178,spico,[sound:Lepticed7_spico.mp3],spice,OG,,Li miksas la oleon kun spicoj.=He mixes the oil with spices.,,,,Esperanto.cards,11903,*Nouns [DuoLingo] [kontakto] [uea/facila] Food+Cooking
6530,3190,rob,,Rob,ChatGPT,,,,,,,4532,"""#OpenSubtitles"""
6531,3453,tina,,,,,,,,,,5244,"""#OpenSubtitles"""
6532,3581,jenny,,Jenny,ChatGPT,,,,,,,4020,"""#OpenSubtitles"""
6533,3635,jonathan,,Jonathan,ChatGPT,,,,,,,3959,"""#OpenSubtitles"""
6534,3659,tyler,,Tyler,ChatGPT,,,,,,,3923,"""#OpenSubtitles"""
6535,3696,doug,,Doug,ChatGPT,,,,,,,3890,"""#OpenSubtitles"""
6536,3715,cervo,[sound:cervo_eo_ll.mp3],"deer, hart, stag",ESPDIC,,,,,,Lingua Libre,7031,"""#OpenSubtitles"""
6537,3814,lewis,,Lewis,ChatGPT,,,,,,,3778,"""#OpenSubtitles"""
6538,3862,mal,,bad,ChatGPT,,,,,,,3736,"""#OpenSubtitles"""
6539,4145,lordo,[sound:lordo_eo_ll.mp3],lord,ESPDIC,,,,,,Lingua Libre,4291,"""#OpenSubtitles"""
6540,4307,lucy,,Lucy,ChatGPT,,,,,,,3363,"""#OpenSubtitles"""
6541,4350,beverly,,Beverly,ChatGPT,,,,,,,3124,"""#OpenSubtitles"""
6542,4543,superheroo,,superhero,ESPDIC,,,,,,,1425,"""#OpenSubtitles"""
6543,4682,radiado,[sound:radiado_eo_ll.mp3],"radiance, radiation",ESPDIC,,,,,,Lingua Libre,3300,"""#OpenSubtitles"""
6544,4789,lane,,Lane,ChatGPT,,,,,,,2591,"""#OpenSubtitles"""
6545,4833,hip,,hip,ChatGPT,,,,,,,2541,"""#OpenSubtitles"""
6546,4910,ekstertera,[sound:Lepticed7_ekstertera.mp3],extraterrestrial,OG,,Li studas la eblon de ekstertera vivo.=He studies the possibility of extraterrestrial life.,,eksterterano=extraterrestrial (being),[sound:hypertts-bd245c728b4980a7c765b8437e2eeb286e086106348c74cae524a5d5.mp3],Esperanto.cards,10267,*Adjectives [DuoLingo] Words-w-Affixes
6547,5039,river,,River,ChatGPT,,,,,,,2294,"""#OpenSubtitles"""
6548,5160,formiko,[sound:Lepticed7_formiko.mp3],ant,OG,,Ho ve! Formiko rampas sur mia brako!=Oh no! An ant is crawling on my arm!,,,,Esperanto.cards,15771,*Nouns [DuoLingo] Animals
6549,5515,ekspedicio,,expedition,ESPDIC,,,,,,,1587,"""#OpenSubtitles"""
6550,5544,fox,,fox,ChatGPT,,,,,,,1643,"""#OpenSubtitles"""
6551,5572,adoptita,[sound:adoptita_eo_ll.mp3],"adopted, adoptive",ESPDIC,,,,,,Lingua Libre,1639,"""#OpenSubtitles"""
6552,5652,joseph,,Joseph,ChatGPT,,,,,,,1513,"""#OpenSubtitles"""
6553,5750,woah,,woah,ChatGPT,,,,,,,1416,"""#OpenSubtitles"""
6554,5766,klopodas,[sound:klopodas_eo_ll.mp3],knocks,ChatGPT,,,,,,Lingua Libre,1392,"""#OpenSubtitles"""
6555,5807,gesinjoroj,[sound:Gesinjoroj_eo_ll.mp3],"ladies and gentlemen, Mr. and Mrs.",ESPDIC,,,,,,Lingua Libre,1336,"""#OpenSubtitles"""
6556,5826,elizabeth,,Elizabeth,ChatGPT,,,,,,,1315,"""#OpenSubtitles"""
6557,5837,yeah,,yeah,ChatGPT,,,,,,,1307,"""#OpenSubtitles"""
6558,5838,rektoro,,"chancellor, rector (school)",ESPDIC,,,,,,,1123,"""#OpenSubtitles"""
6559,5879,floto,[sound:floto_eo_ll.mp3],fleet,ESPDIC,,,,,,Lingua Libre,2899,"""#OpenSubtitles"""
6560,5930,love,,love,ChatGPT,,,,,,,1197,"""#OpenSubtitles"""
6561,6080,instruistino,[sound:instruistino_eo_ll.mp3],"mistress (school), female teacher",ESPDIC,,,,,,Lingua Libre,983,"""#OpenSubtitles"""
6562,6112,magneta,[sound:magneta_eo_ll.mp3],magnetic,ESPDIC,,,,,,Lingua Libre,154,"""#OpenSubtitles"""
6563,6171,bush,,Bush,ChatGPT,,,,,,,880,"""#OpenSubtitles"""
6564,6204,news,,news,ChatGPT,,,,,,,846,"""#OpenSubtitles"""
6565,6377,oficero,,,,,,,,,,1548,"""#OpenSubtitles"""
6566,6412,nordameriko,[sound:nordameriko_eo_tts.mp3],North America,OG,,Ŝi ne vojaĝas al Nordameriko.=She is not traveling to North America.,,,,TTS Voĉroboto,7826,*Nouns [DuoLingo] Places
6567,6440,svingi,[sound:svingi_eo_ll.mp3],"to brandish, fling, swing, wave, wave about",ESPDIC,,,,,,Lingua Libre,553,"""#OpenSubtitles"""
6568,6455,ĉampano,[sound:ĉampano_eo_ll.mp3],champagne,ESPDIC,,,,,,Lingua Libre,1418,"""#OpenSubtitles"""
6569,6504,skribado,[sound:skribado_eo_ll.mp3],writing,ESPDIC,,,,,,Lingua Libre,534,"""#OpenSubtitles"""
6570,6546,reklamado,,"advertisement, advertising, promotion",ESPDIC,,,,,,,1303,"""#OpenSubtitles"""
6571,6584,stacidomo,[sound:Lepticed7_stacidomo.mp3],train station (building),OG,,La enirejo de la stacidomo situas dekstre.=The entrance to the station is located on the right.,,,,Esperanto.cards,8429,*Nouns [DuoLingo] Travel
6572,6604,world,,world,ChatGPT,,,,,,,388,"""#OpenSubtitles"""
6573,6613,hindia,,India,ChatGPT,,,,,,,74,"""#OpenSubtitles"""
6574,6645,monumento,[sound:monumento_eo_ll.mp3],monument,ESPDIC,,,,,,Lingua Libre,265,"""#OpenSubtitles"""
6575,6700,perfida,[sound:perfida_eo_ll.mp3],"perfidious, traitorous, treacherous",ESPDIC,,,,,,Lingua Libre,139,"""#OpenSubtitles"""
6576,6729,opiniis,,,,,,,,,,241,"""#OpenSubtitles"""
6577,6777,montaro,[sound:montaro_eo_ll.mp3],"chain of mountains, mountain range",ESPDIC,,,,,,Lingua Libre,187,"""#OpenSubtitles"""
6578,6778,deklivo,[sound:Lepticed7_deklivo.mp3],slope; backslash (computers),OG,,Nia urbeto troviĝas sur deklivo de monto.=Our town is located on a mountain slope.,,,,Esperanto.cards,10881,*Nouns [DuoLingo] Places Science+Technology
6579,6783,optimisma,,optimistic,ESPDIC,,,,,,,39,"""#OpenSubtitles"""
6580,6814,filma,,,,,,,,,,257,"""#OpenSubtitles"""
6581,6825,ŝarĝu,,load,ChatGPT,,,,,,,126,"""#OpenSubtitles"""
6582,6931,seksperfortis,,sexual assault,ChatGPT,,,,,,,30,"""#OpenSubtitles"""
6583,6948,solo,,solo (musical),ESPDIC,,,,,,,85,"""#OpenSubtitles"""
6584,6957,far,[sound:far_eo_ll.mp3],by (in passive constructions),ESPDIC,,,,,,Lingua Libre,60,"""#OpenSubtitles"""
6585,7002,verdikto,,"adjudication, verdict, finding, decision",ESPDIC,,,,,,,895,"""#OpenSubtitles"""
6586,7011,inĝenierado,,engineering,ChatGPT,,,,,,,335,"""#OpenSubtitles"""
6587,7063,rapidas,,rapidly,ChatGPT,,,,,,,176,"""#OpenSubtitles"""
6588,7067,flugado,[sound:flugado_eo_ll.mp3],flight (birds),ESPDIC,,,,,,Lingua Libre,294,"""#OpenSubtitles"""
6589,7070,veterano,[sound:veterano_eo_ll.mp3],veteran,ESPDIC,,,,,,Lingua Libre,2100,"""#OpenSubtitles"""
6590,7151,pensio,[sound:pensio_eo_ll.mp3],"pension, retirement",ESPDIC,,,,,,Lingua Libre,781,"""#OpenSubtitles"""
6591,7197,ludema,[sound:Lepticed7_ludema.mp3],playful,OG,,Vi vere estas ludema!=You really are playful!,,,,Esperanto.cards,8776,*Adjectives [DuoLingo] Words-w-Affixes
6592,7201,frostu,[sound:frostu_eo_ll.mp3],freeze,ChatGPT,,,,,,Lingua Libre,347,"""#OpenSubtitles"""
6593,7202,gejo,[sound:gejo_eo_ll.mp3],"homosexual, gay",ESPDIC,,,,,,Lingua Libre,581,"""#OpenSubtitles"""
6594,7233,klasifikita,,,,,,,,,,754,"""#OpenSubtitles"""
6595,7237,itinero,,"itinerary, route",ESPDIC,,,,,,,820,"""#OpenSubtitles"""
6596,7286,kriminala,,criminal,ESPDIC,,,,,,,2161,"""#OpenSubtitles"""
6597,7291,komunikas,,communicates,ChatGPT,,,,,,,476,"""#OpenSubtitles"""
6598,7412,rivera,,"of a river, stream",ESPDIC,,,,,,,997,"""#OpenSubtitles"""
6599,7416,re,,,,,,,,,,1257,"""#OpenSubtitles"""
6600,7445,detekti,[sound:detekti_eo_ll.mp3],to detect,ESPDIC,,,,,,Lingua Libre,653,"""#OpenSubtitles"""
6601,7450,neidentigita,,unidentified,ESPDIC,,,,,,,474,"""#OpenSubtitles"""
6602,7461,parado,[sound:parado_eo_ll.mp3],"display, parade, review, show, pageant",ESPDIC,,,,,,Lingua Libre,605,"""#OpenSubtitles"""
6603,7476,vestĉambro,,,,,,,,,,958,"""#OpenSubtitles"""
6605,7586,bolanta,[sound:bolanta_eo_ll.mp3],,,,,,,,Lingua Libre,2726,"""#OpenSubtitles"""
6606,7606,regularo,[sound:regularo_eo_ll.mp3],"regulations, rules, statutes, rule collection",ESPDIC,,,,,,Lingua Libre,2802,"""#OpenSubtitles"""
6607,7607,malŝaltas,,turns off,ChatGPT,,,,,,,824,"""#OpenSubtitles"""
6608,7627,katido,[sound:Lepticed7_katido.mp3],kitten,OG,,Katido estas ido de kato.=A kitten is a cat's offspring.,,,,Esperanto.cards,12094,*Nouns [DuoLingo] Animals
6610,7652,pace,[sound:pace_eo_ll.mp3],"amicably, peaceably, peacefully",ESPDIC,,,,,,Lingua Libre,872,"""#OpenSubtitles"""
6611,7659,koincidenco,,coincidence,ChatGPT,,,,,,,1544,"""#OpenSubtitles"""
6612,7683,embusko,[sound:embusko_eo_ll.mp3],"ambuscade, ambush",ESPDIC,,,,,,Lingua Libre,2303,"""#OpenSubtitles"""
6613,7708,redaktoro,[sound:Lepticed7_redaktoro.mp3],editor,OG,,Ĉu vi redaktos lian artikolon?=Will you edit his article?,,,,Esperanto.cards,9137,*Nouns [uea/facila] People
6614,7786,senlime,[sound:senlime_eo_ll.mp3],without limit,ESPDIC,,,,,,Lingua Libre,1020,"""#OpenSubtitles"""
6615,7795,krano,[sound:krano_eo_ll.mp3],"cock, faucet, tap, spigot",ESPDIC,,,,,,Lingua Libre,4465,"""#OpenSubtitles"""
6616,7804,aktivigis,[sound:aktivigis_eo_ll.mp3],activated,ChatGPT,,,,,,Lingua Libre,1051,"""#OpenSubtitles"""
6617,7807,ŝokis,,shocked,ChatGPT,,,,,,,1052,"""#OpenSubtitles"""
6618,7810,entreprenisto,[sound:entreprenisto_eo_ll.mp3],"contractor, entrepreneur",ESPDIC,,,,,,Lingua Libre,2290,"""#OpenSubtitles"""
6619,7814,felicxa,,,,,,,,,,2365,"""#OpenSubtitles"""
6620,7837,ŝako,[sound:ŝako_eo_ll.mp3],"check, chess",ESPDIC,,,,,,Lingua Libre,2285,"""#OpenSubtitles"""
6621,7851,diplomatia,[sound:diplomatia_eo_ll.mp3],diplomatic,ESPDIC,,,,,,Lingua Libre,4221,"""#OpenSubtitles"""
6622,7910,interesiĝis,,interested,ChatGPT,,,,,,,1153,"""#OpenSubtitles"""
6623,7917,kontaktas,,contacts,ChatGPT,,,,,,,1156,"""#OpenSubtitles"""
6624,7920,gracia,[sound:gracia_eo_ll.mp3],"graceful, gracious, slender, slim",ESPDIC,,,,,,Lingua Libre,956,"""#OpenSubtitles"""
6625,7933,dividado,,"division, splitting",ESPDIC,,,,,,,1934,"""#OpenSubtitles"""
6626,7943,ripo,[sound:ripo_eo_ll.mp3],rib,ESPDIC,,,,,,Lingua Libre,4540,"""#OpenSubtitles"""
6627,7969,direkte,,directly,ESPDIC,,,,,,,1148,"""#OpenSubtitles"""
6628,7986,batanta,[sound:batanta_eo_ll.mp3],,,,,,,,Lingua Libre,852,"""#OpenSubtitles"""
6629,7993,pafante,,shooting,ChatGPT,,,,,,,1262,"""#OpenSubtitles"""
6630,8004,ŝparado,,"economy, saving",ESPDIC,,,,,,,3607,"""#OpenSubtitles"""
6631,8021,percepto,[sound:percepto_eo_ll.mp3],perception,ESPDIC,,,,,,Lingua Libre,1799,"""#OpenSubtitles"""
6632,8046,submondo,,subworld,ChatGPT,,,,,,,2076,"""#OpenSubtitles"""
6633,8058,kalendaro,[sound:Lepticed7_kalendaro.mp3],calendar,OG,,La kalendaro havas dek du monatojn.=The calendar has twelve months.,,,,Esperanto.cards,12229,*Nouns [DuoLingo] [kontakto] [uea/facila] Dates+Time+Events
6634,8060,soifas,,thirsts,ChatGPT,,,,,,,1342,"""#OpenSubtitles"""
6635,8069,prediko,[sound:prediko_eo_ll.mp3],sermon,ESPDIC,,,,,,Lingua Libre,2996,"""#OpenSubtitles"""
6636,8096,malriĉeco,[sound:malriĉeco_eo_ll.mp3],"need, poverty",ESPDIC,,,,,,Lingua Libre,2313,"""#OpenSubtitles"""
6637,8100,helpadi,,help,ChatGPT,,,,,,,1393,"""#OpenSubtitles"""
6638,8113,hora,[sound:hora_eo_ll.mp3],,,,,,,,Lingua Libre,1127,"""#OpenSubtitles"""
6639,8121,rulu,,roll,ChatGPT,,,,,,,1416,"""#OpenSubtitles"""
6640,8159,luda,,,,,,,,,,1659,"""#OpenSubtitles"""
6641,8175,konspiro,[sound:konspiro_eo_ll.mp3],"conspiracy, plot",ESPDIC,,,,,,Lingua Libre,2396,"""#OpenSubtitles"""
6642,8177,ordigis,,,,,,,,,,1499,"""#OpenSubtitles"""
6643,8197,renovigo,[sound:renovigo_eo_ll.mp3],"renewal, renovation",ESPDIC,,,,,,Lingua Libre,2764,"""#OpenSubtitles"""
6645,8207,statistiko,[sound:statistiko_eo_ll.mp3],statistics,ESPDIC,,,,,,Lingua Libre,6863,"""#OpenSubtitles"""
6646,8217,notis,,noted,ChatGPT,,,,,,,1539,"""#OpenSubtitles"""
6647,8258,komprenita,[sound:komprenita_eo_ll.mp3],understood,ESPDIC,,,,,,Lingua Libre,1575,"""#OpenSubtitles"""
6648,8301,toasto,[sound:toasto_eo_ll.mp3],"toast (a health), toast (bread)",ESPDIC,,,,,,Lingua Libre,1465,"""#OpenSubtitles"""
6649,8315,haste,[sound:haste_eo_ll.mp3],"hastily, hurriedly, in a hurry",ESPDIC,,,,,,Lingua Libre,1660,"""#OpenSubtitles"""
6650,8324,altaro,[sound:altaro_eo_ll.mp3],altar,ESPDIC,,,,,,Lingua Libre,2408,"""#OpenSubtitles"""
6651,8332,volado,,volition,ESPDIC,,,,,,,1656,"""#OpenSubtitles"""
6652,8347,ĉiujare,[sound:Lepticed7_ĉiujare.mp3],"yearly, annually",OG,,Miaj gepatroj volas vojaĝi eksterlanden ĉiujare.=My parents want to travel abroad every year.,,,,Esperanto.cards,7926,*Adverbs [DuoLingo] Dates+Time+Events
6653,8355,frostas,,it’s freezing,ESPDIC,,,,,,,1698,"""#OpenSubtitles"""
6654,8378,menciita,,,,,,,,,,3203,"""#OpenSubtitles"""
6655,8384,fortuna,,fortunate,ESPDIC,,,,,,,1745,"""#OpenSubtitles"""
6656,8387,servado,,"attendance, service, waiting",ESPDIC,,,,,,,1997,"""#OpenSubtitles"""
6657,8399,svingas,,swing,ChatGPT,,,,,,,1750,"""#OpenSubtitles"""
6658,8404,neas,[sound:neas_eo_ll.mp3],cannot,ChatGPT,,,,,,Lingua Libre,1758,"""#OpenSubtitles"""
6659,8435,rekapti,[sound:rekapti_eo_ll.mp3],to recapture,ESPDIC,,,,,,Lingua Libre,1786,"""#OpenSubtitles"""
6660,8436,lobio,,lobby,ESPDIC,,,,,,,2565,"""#OpenSubtitles"""
6661,8445,konsilas,,counsels,ChatGPT,,,,,,,1795,"""#OpenSubtitles"""
6662,8448,eblis,[sound:eblis_eo_ll.mp3],made possible,ChatGPT,,,,,,Lingua Libre,1798,"""#OpenSubtitles"""
6663,8515,prosperas,,prosperates,ChatGPT,,,,,,,1876,"""#OpenSubtitles"""
6664,8522,suferado,,suffering,ESPDIC,,,,,,,1968,"""#OpenSubtitles"""
6666,8554,ĝeneroza,,,,,,,,,,2604,"""#OpenSubtitles"""
6667,8560,pendigis,,placed,ChatGPT,,,,,,,1926,"""#OpenSubtitles"""
6668,8562,sekse,[sound:sekse_eo_ll.mp3],sexually,ChatGPT,,,,,,Lingua Libre,1935,"""#OpenSubtitles"""
6669,8577,mentono,[sound:Lepticed7_mentono.mp3],chin,OG,,Estas supo sur via mentono.=There is soup on your chin.,,,,Esperanto.cards,9318,*Nouns [DuoLingo] Health+Body
6670,8586,elĉerpiĝinta,,were expelled,ChatGPT,,,,,,,2233,"""#OpenSubtitles"""
6671,8592,nuligis,,nullified,ChatGPT,,,,,,,1971,"""#OpenSubtitles"""
6672,8601,penis,,penis,ChatGPT,,,,,,,1979,"""#OpenSubtitles"""
6673,8616,vokus,[sound:vokus_eo_ll.mp3],call,ChatGPT,,,,,,Lingua Libre,2002,"""#OpenSubtitles"""
6674,8637,establita,,,,,,,,,,2736,"""#OpenSubtitles"""
6675,8638,elĉerpis,,extorted,ChatGPT,,,,,,,2029,"""#OpenSubtitles"""
6676,8643,rezervi,[sound:rezervi_eo_ll.mp3],"to reserve, book",ESPDIC,,,,,,Lingua Libre,2033,"""#OpenSubtitles"""
6677,8646,programita,,programmed,ESPDIC,,,,,,,2663,"""#OpenSubtitles"""
6678,8649,ekzamenis,,examined,ChatGPT,,,,,,,2038,"""#OpenSubtitles"""
6679,8685,ekscitiĝis,,,,,,,,,,2076,"""#OpenSubtitles"""
6680,8751,ĝustigo,,"adjustment, checkout, debugging, error correction, amendment, correction",ESPDIC,,,,,,,5596,"""#OpenSubtitles"""
6681,8753,plenigos,,will fill,ChatGPT,,,,,,,2137,"""#OpenSubtitles"""
6682,8769,vizaĝe,,facial,ChatGPT,,,,,,,2195,"""#OpenSubtitles"""
6683,8787,floras,,flowers,ChatGPT,,,,,,,2178,"""#OpenSubtitles"""
6684,8807,direktas,,directs,ChatGPT,,,,,,,2209,"""#OpenSubtitles"""
6685,8853,esplora,,"scientific, exploratory, research",ESPDIC,,,,,,,5080,"""#OpenSubtitles"""
6686,8855,geedziĝu,,marry,ChatGPT,,,,,,,2261,"""#OpenSubtitles"""
6687,6687,gordon,,Gordon,ChatGPT,,,,,,,3621,"""#OpenSubtitles"""
6687,8863,disvastigita,,propagated,ESPDIC,,,,,,,3270,"""#OpenSubtitles"""
